housing_median_age,total_rooms,population,ocean_proximity,AGE,STAR,POPULATION_STATUS
46,12,18,NEAR BAY,OLD,3-STAR,SMALL
20,835,290,NEAR BAY,YOUNG,3-STAR,SMALL
17,1237,762,NEAR BAY,YOUNG,5-STAR,MEDIUM
36,2914,1236,NEAR BAY,ADULT,5-STAR,OVER
19,1207,721,NEAR BAY,YOUNG,5-STAR,MEDIUM
23,1745,1054,NEAR BAY,YOUNG,5-STAR,OVER
38,684,344,NEAR BAY,ADULT,3-STAR,SMALL
17,924,609,NEAR BAY,YOUNG,3-STAR,MEDIUM
52,210,183,NEAR BAY,OLD,3-STAR,SMALL
52,340,200,NEAR BAY,OLD,3-STAR,SMALL
52,386,346,NEAR BAY,OLD,3-STAR,SMALL
35,948,467,NEAR BAY,ADULT,3-STAR,SMALL
52,773,377,NEAR BAY,OLD,3-STAR,SMALL
40,880,582,NEAR BAY,ADULT,3-STAR,SMALL
10,875,546,NEAR BAY,YOUNG,3-STAR,SMALL
10,105,125,NEAR BAY,YOUNG,3-STAR,SMALL
52,249,396,NEAR BAY,OLD,3-STAR,SMALL
16,994,800,NEAR BAY,YOUNG,3-STAR,MEDIUM
52,215,904,NEAR BAY,OLD,3-STAR,MEDIUM
52,96,191,NEAR BAY,OLD,3-STAR,SMALL
27,1055,718,NEAR BAY,ADULT,5-STAR,MEDIUM
39,1715,1327,NEAR BAY,ADULT,5-STAR,OVER
36,5329,3469,NEAR BAY,ADULT,7-STAR,OVER
31,4596,2048,NEAR BAY,ADULT,7-STAR,OVER
29,335,202,NEAR BAY,ADULT,3-STAR,SMALL
22,3682,2024,NEAR BAY,YOUNG,7-STAR,OVER
37,3633,1838,NEAR BAY,ADULT,7-STAR,OVER
29,4656,2304,NEAR BAY,ADULT,7-STAR,OVER
28,5806,2563,NEAR BAY,ADULT,7-STAR,OVER
39,854,389,NEAR BAY,ADULT,3-STAR,SMALL
52,2155,895,NEAR BAY,OLD,5-STAR,MEDIUM
34,5871,2689,NEAR BAY,ADULT,7-STAR,OVER
52,1509,674,NEAR BAY,OLD,5-STAR,MEDIUM
52,2026,709,NEAR BAY,OLD,5-STAR,MEDIUM
52,1758,686,NEAR BAY,OLD,5-STAR,MEDIUM
52,3481,1444,NEAR BAY,OLD,7-STAR,OVER
28,3337,1520,NEAR BAY,ADULT,7-STAR,OVER
52,1424,550,NEAR BAY,OLD,5-STAR,SMALL
32,3809,1806,NEAR BAY,ADULT,7-STAR,OVER
26,3959,1749,NEAR BAY,ADULT,7-STAR,OVER
52,2376,939,NEAR BAY,OLD,5-STAR,MEDIUM
35,1613,675,NEAR BAY,ADULT,5-STAR,MEDIUM
52,1279,534,NEAR BAY,OLD,5-STAR,SMALL
28,5022,2558,NEAR BAY,ADULT,7-STAR,OVER
52,4190,1786,NEAR BAY,OLD,7-STAR,OVER
50,2515,970,NEAR BAY,OLD,5-STAR,MEDIUM
47,3175,1098,NEAR BAY,OLD,7-STAR,OVER
41,2576,794,NEAR BAY,ADULT,5-STAR,MEDIUM
37,334,98,NEAR BAY,ADULT,3-STAR,SMALL
52,2800,1061,NEAR BAY,OLD,5-STAR,OVER
52,3529,1177,NEAR BAY,OLD,7-STAR,OVER
52,2612,901,NEAR BAY,OLD,5-STAR,MEDIUM
28,5287,2031,NEAR BAY,ADULT,7-STAR,OVER
50,2935,1031,NEAR BAY,OLD,5-STAR,OVER
44,3424,1358,NEAR BAY,ADULT,7-STAR,OVER
40,4991,1616,NEAR BAY,ADULT,7-STAR,OVER
30,2211,844,NEAR BAY,ADULT,5-STAR,MEDIUM
34,3038,1140,NEAR BAY,ADULT,7-STAR,OVER
18,1617,533,NEAR BAY,YOUNG,5-STAR,SMALL
35,2865,1072,NEAR BAY,ADULT,5-STAR,OVER
34,5065,1627,NEAR BAY,ADULT,7-STAR,OVER
28,1326,463,NEAR BAY,ADULT,5-STAR,SMALL
26,1589,542,NEAR BAY,ADULT,5-STAR,SMALL
29,1791,661,NEAR BAY,ADULT,5-STAR,MEDIUM
32,1835,635,NEAR BAY,ADULT,5-STAR,MEDIUM
37,1229,420,NEAR BAY,ADULT,5-STAR,SMALL
39,3770,1265,NEAR BAY,ADULT,7-STAR,OVER
30,292,126,NEAR BAY,ADULT,3-STAR,SMALL
52,2375,813,NEAR BAY,OLD,5-STAR,MEDIUM
45,2964,1067,NEAR BAY,ADULT,5-STAR,OVER
50,2833,1260,NEAR BAY,OLD,5-STAR,OVER
38,2254,951,NEAR BAY,ADULT,5-STAR,MEDIUM
52,1389,510,NEAR BAY,OLD,5-STAR,SMALL
52,1971,765,NEAR BAY,OLD,5-STAR,MEDIUM
52,2183,1129,NEAR BAY,OLD,5-STAR,OVER
52,2286,1073,NEAR BAY,OLD,5-STAR,OVER
52,2721,1185,NEAR BAY,OLD,5-STAR,OVER
52,2024,756,NEAR BAY,OLD,5-STAR,MEDIUM
52,2944,1034,NEAR BAY,OLD,5-STAR,OVER
52,2033,787,NEAR BAY,OLD,5-STAR,MEDIUM
52,1433,612,NEAR BAY,OLD,5-STAR,MEDIUM
52,2927,1021,NEAR BAY,OLD,5-STAR,OVER
52,2315,861,NEAR BAY,OLD,5-STAR,MEDIUM
52,2485,953,NEAR BAY,OLD,5-STAR,MEDIUM
52,1490,634,NEAR BAY,OLD,5-STAR,MEDIUM
52,2814,878,NEAR BAY,OLD,5-STAR,MEDIUM
52,2093,918,NEAR BAY,OLD,5-STAR,MEDIUM
52,888,360,NEAR BAY,OLD,3-STAR,SMALL
52,2087,1197,NEAR BAY,OLD,5-STAR,OVER
52,2513,1048,NEAR BAY,OLD,5-STAR,OVER
46,3232,1373,NEAR BAY,OLD,7-STAR,OVER
42,4120,1715,NEAR BAY,ADULT,7-STAR,OVER
43,2364,1359,NEAR BAY,ADULT,5-STAR,OVER
41,1471,1062,NEAR BAY,ADULT,5-STAR,OVER
29,2468,1335,NEAR BAY,ADULT,5-STAR,OVER
27,1632,1171,NEAR BAY,ADULT,5-STAR,OVER
45,1786,1475,NEAR BAY,ADULT,5-STAR,OVER
50,629,742,NEAR BAY,OLD,3-STAR,MEDIUM
52,1339,1086,NEAR BAY,OLD,5-STAR,OVER
36,1678,1645,NEAR BAY,ADULT,5-STAR,OVER
43,2344,1710,NEAR BAY,ADULT,5-STAR,OVER
52,996,731,NEAR BAY,OLD,3-STAR,MEDIUM
52,1591,1118,NEAR BAY,OLD,5-STAR,OVER
52,1586,1006,NEAR BAY,OLD,5-STAR,OVER
47,2046,1213,NEAR BAY,OLD,5-STAR,OVER
52,1192,772,NEAR BAY,OLD,5-STAR,MEDIUM
52,1803,1321,NEAR BAY,OLD,5-STAR,OVER
49,2838,1487,NEAR BAY,OLD,5-STAR,OVER
52,783,488,NEAR BAY,OLD,3-STAR,SMALL
51,1590,949,NEAR BAY,OLD,5-STAR,MEDIUM
50,1746,1149,NEAR BAY,OLD,5-STAR,OVER
52,1252,844,NEAR BAY,OLD,5-STAR,MEDIUM
43,5963,4367,NEAR BAY,ADULT,7-STAR,OVER
52,1783,1659,NEAR BAY,OLD,5-STAR,OVER
30,999,1011,NEAR BAY,ADULT,3-STAR,OVER
39,1469,1464,NEAR BAY,ADULT,5-STAR,OVER
47,1372,1237,NEAR BAY,OLD,5-STAR,OVER
52,674,647,NEAR BAY,OLD,3-STAR,MEDIUM
43,1626,1284,NEAR BAY,ADULT,5-STAR,OVER
51,175,228,NEAR BAY,OLD,3-STAR,SMALL
39,461,381,NEAR BAY,ADULT,3-STAR,SMALL
52,902,846,NEAR BAY,OLD,3-STAR,MEDIUM
20,2373,1659,NEAR BAY,YOUNG,5-STAR,OVER
52,391,520,NEAR BAY,OLD,3-STAR,SMALL
52,1137,866,NEAR BAY,OLD,5-STAR,MEDIUM
52,769,612,NEAR BAY,OLD,3-STAR,MEDIUM
52,472,415,NEAR BAY,OLD,3-STAR,SMALL
52,862,994,NEAR BAY,OLD,3-STAR,MEDIUM
50,1920,1525,NEAR BAY,OLD,5-STAR,OVER
43,1420,1506,NEAR BAY,ADULT,5-STAR,OVER
52,986,1008,NEAR BAY,OLD,3-STAR,OVER
44,2340,2813,NEAR BAY,ADULT,5-STAR,OVER
48,1696,1481,NEAR BAY,OLD,5-STAR,OVER
49,1175,859,NEAR BAY,OLD,5-STAR,MEDIUM
37,2343,1608,NEAR BAY,ADULT,5-STAR,OVER
30,610,425,NEAR BAY,ADULT,3-STAR,SMALL
40,930,564,NEAR BAY,ADULT,3-STAR,SMALL
44,1487,961,NEAR BAY,ADULT,5-STAR,MEDIUM
52,3424,2273,NEAR BAY,OLD,7-STAR,OVER
52,762,600,NEAR BAY,OLD,3-STAR,SMALL
46,2366,1647,NEAR BAY,OLD,5-STAR,OVER
49,1826,1201,NEAR BAY,OLD,5-STAR,OVER
38,3049,2167,NEAR BAY,ADULT,7-STAR,OVER
29,1640,939,NEAR BAY,ADULT,5-STAR,MEDIUM
47,1543,859,NEAR BAY,OLD,5-STAR,MEDIUM
34,2364,1517,NEAR BAY,ADULT,5-STAR,OVER
35,1745,1143,NEAR BAY,ADULT,5-STAR,OVER
39,2003,1109,NEAR BAY,ADULT,5-STAR,OVER
39,2018,1221,NEAR BAY,ADULT,5-STAR,OVER
43,3045,1115,NEAR BAY,ADULT,7-STAR,OVER
52,1547,706,NEAR BAY,OLD,5-STAR,MEDIUM
52,3519,1883,NEAR BAY,OLD,7-STAR,OVER
41,2070,804,NEAR BAY,ADULT,5-STAR,MEDIUM
48,1321,506,NEAR BAY,OLD,5-STAR,SMALL
48,1694,610,NEAR BAY,OLD,5-STAR,MEDIUM
46,1938,768,NEAR BAY,OLD,5-STAR,MEDIUM
50,968,462,NEAR BAY,OLD,3-STAR,SMALL
40,1060,667,NEAR BAY,ADULT,5-STAR,MEDIUM
46,2041,1059,NEAR BAY,OLD,5-STAR,OVER
52,1813,637,NEAR BAY,OLD,5-STAR,MEDIUM
45,2718,1106,NEAR BAY,ADULT,5-STAR,OVER
28,3144,1737,NEAR BAY,ADULT,7-STAR,OVER
35,1802,1009,NEAR BAY,ADULT,5-STAR,OVER
49,882,737,NEAR BAY,OLD,3-STAR,MEDIUM
44,1621,1354,NEAR BAY,ADULT,5-STAR,OVER
45,2115,1530,NEAR BAY,ADULT,5-STAR,OVER
45,2021,1410,NEAR BAY,ADULT,5-STAR,OVER
46,2239,1390,NEAR BAY,OLD,5-STAR,OVER
52,1477,1065,NEAR BAY,OLD,5-STAR,OVER
52,1056,792,NEAR BAY,OLD,5-STAR,MEDIUM
49,898,779,NEAR BAY,OLD,3-STAR,MEDIUM
44,2968,2269,NEAR BAY,ADULT,5-STAR,OVER
43,1702,1227,NEAR BAY,ADULT,5-STAR,OVER
47,881,753,NEAR BAY,OLD,3-STAR,MEDIUM
40,494,547,NEAR BAY,ADULT,3-STAR,SMALL
50,1776,1807,NEAR BAY,OLD,5-STAR,OVER
44,1678,1700,NEAR BAY,ADULT,5-STAR,OVER
51,1637,1543,NEAR BAY,OLD,5-STAR,OVER
52,1420,1085,NEAR BAY,OLD,5-STAR,OVER
52,591,353,NEAR BAY,OLD,3-STAR,SMALL
52,745,473,NEAR BAY,OLD,3-STAR,SMALL
49,2272,1621,NEAR BAY,OLD,5-STAR,OVER
46,1234,1183,NEAR BAY,OLD,5-STAR,OVER
43,1017,836,NEAR BAY,ADULT,5-STAR,MEDIUM
42,932,900,NEAR BAY,ADULT,3-STAR,MEDIUM
39,2689,1888,NEAR BAY,ADULT,5-STAR,OVER
41,1547,1024,NEAR BAY,ADULT,5-STAR,OVER
52,2300,1225,NEAR BAY,OLD,5-STAR,OVER
39,1752,1071,NEAR BAY,ADULT,5-STAR,OVER
50,1867,1128,NEAR BAY,OLD,5-STAR,OVER
43,2430,1537,NEAR BAY,ADULT,5-STAR,OVER
44,1729,1240,NEAR BAY,ADULT,5-STAR,OVER
52,1026,469,NEAR BAY,OLD,5-STAR,SMALL
52,2170,1086,NEAR BAY,OLD,5-STAR,OVER
52,2329,1144,NEAR BAY,OLD,5-STAR,OVER
52,2492,1109,NEAR BAY,OLD,5-STAR,OVER
52,2198,984,NEAR BAY,OLD,5-STAR,MEDIUM
33,142,575,NEAR BAY,ADULT,3-STAR,SMALL
49,1183,496,NEAR BAY,OLD,5-STAR,SMALL
52,1070,555,NEAR BAY,OLD,5-STAR,SMALL
45,1766,869,NEAR BAY,ADULT,5-STAR,MEDIUM
39,617,236,NEAR BAY,ADULT,3-STAR,SMALL
41,1411,626,NEAR BAY,ADULT,5-STAR,MEDIUM
46,2109,922,NEAR BAY,OLD,5-STAR,MEDIUM
47,1229,582,NEAR BAY,OLD,5-STAR,SMALL
50,954,546,NEAR BAY,OLD,3-STAR,SMALL
37,1643,620,NEAR BAY,ADULT,5-STAR,MEDIUM
34,1355,442,NEAR BAY,ADULT,5-STAR,SMALL
23,2317,955,NEAR BAY,YOUNG,5-STAR,MEDIUM
24,2459,916,NEAR BAY,YOUNG,5-STAR,MEDIUM
22,12842,4985,NEAR BAY,YOUNG,7-STAR,OVER
42,1524,651,NEAR BAY,ADULT,5-STAR,MEDIUM
30,3326,1704,NEAR BAY,ADULT,7-STAR,OVER
43,1985,1085,NEAR BAY,ADULT,5-STAR,OVER
50,1642,713,NEAR BAY,OLD,5-STAR,MEDIUM
49,893,468,NEAR BAY,OLD,3-STAR,SMALL
52,653,296,NEAR BAY,OLD,3-STAR,SMALL
47,1256,570,NEAR BAY,OLD,5-STAR,SMALL
48,977,446,NEAR BAY,OLD,3-STAR,SMALL
45,2324,968,NEAR BAY,ADULT,5-STAR,MEDIUM
39,1583,857,NEAR BAY,ADULT,5-STAR,MEDIUM
39,1612,912,NEAR BAY,ADULT,5-STAR,MEDIUM
31,2424,1360,NEAR BAY,ADULT,5-STAR,OVER
41,1594,1074,NEAR BAY,ADULT,5-STAR,OVER
47,2118,965,NEAR BAY,OLD,5-STAR,MEDIUM
37,1575,933,NEAR BAY,ADULT,5-STAR,MEDIUM
38,1764,987,NEAR BAY,ADULT,5-STAR,MEDIUM
50,1187,907,NEAR BAY,OLD,5-STAR,MEDIUM
52,754,447,NEAR BAY,OLD,3-STAR,SMALL
49,2308,1299,NEAR BAY,OLD,5-STAR,OVER
27,909,396,NEAR BAY,ADULT,3-STAR,SMALL
42,1180,877,NEAR BAY,ADULT,5-STAR,MEDIUM
43,2018,1111,NEAR BAY,ADULT,5-STAR,OVER
49,1368,790,NEAR BAY,OLD,5-STAR,MEDIUM
52,2744,1479,NEAR BAY,OLD,5-STAR,OVER
51,2107,1173,NEAR BAY,OLD,5-STAR,OVER
52,1748,1029,NEAR BAY,OLD,5-STAR,OVER
52,2024,1030,NEAR BAY,OLD,5-STAR,OVER
47,1116,826,NEAR BAY,OLD,5-STAR,MEDIUM
41,2036,1412,NEAR BAY,ADULT,5-STAR,OVER
45,1852,1132,NEAR BAY,ADULT,5-STAR,OVER
41,921,522,NEAR BAY,ADULT,3-STAR,SMALL
45,995,630,NEAR BAY,ADULT,3-STAR,MEDIUM
36,606,531,NEAR BAY,ADULT,3-STAR,SMALL
37,2680,1925,NEAR BAY,ADULT,5-STAR,OVER
38,1493,1144,NEAR BAY,ADULT,5-STAR,OVER
19,2207,1481,NEAR BAY,YOUNG,5-STAR,OVER
28,856,435,NEAR BAY,ADULT,3-STAR,SMALL
26,1293,984,NEAR BAY,ADULT,5-STAR,MEDIUM
36,847,567,NEAR BAY,ADULT,3-STAR,SMALL
42,541,380,NEAR BAY,ADULT,3-STAR,SMALL
44,1066,825,NEAR BAY,ADULT,5-STAR,MEDIUM
43,707,417,NEAR BAY,ADULT,3-STAR,SMALL
45,1528,801,NEAR BAY,ADULT,5-STAR,MEDIUM
42,909,646,NEAR BAY,ADULT,3-STAR,MEDIUM
43,1391,855,NEAR BAY,ADULT,5-STAR,MEDIUM
44,548,435,NEAR BAY,ADULT,3-STAR,SMALL
42,4074,2736,NEAR BAY,ADULT,7-STAR,OVER
41,1613,1481,NEAR BAY,ADULT,5-STAR,OVER
47,463,327,NEAR BAY,OLD,3-STAR,SMALL
43,818,494,NEAR BAY,ADULT,3-STAR,SMALL
43,1473,1231,NEAR BAY,ADULT,5-STAR,OVER
35,504,323,NEAR BAY,ADULT,3-STAR,SMALL
46,1026,749,NEAR BAY,OLD,5-STAR,MEDIUM
46,769,693,NEAR BAY,OLD,3-STAR,MEDIUM
46,2103,1339,NEAR BAY,OLD,5-STAR,OVER
45,330,282,NEAR BAY,ADULT,3-STAR,SMALL
46,941,621,NEAR BAY,OLD,3-STAR,MEDIUM
38,992,732,NEAR BAY,ADULT,3-STAR,MEDIUM
45,990,901,NEAR BAY,ADULT,3-STAR,MEDIUM
36,1126,482,NEAR BAY,ADULT,5-STAR,SMALL
43,1036,652,NEAR BAY,ADULT,5-STAR,MEDIUM
36,1047,651,NEAR BAY,ADULT,5-STAR,MEDIUM
33,1280,999,NEAR BAY,ADULT,5-STAR,MEDIUM
43,1587,907,NEAR BAY,ADULT,5-STAR,MEDIUM
41,1257,828,NEAR BAY,ADULT,5-STAR,MEDIUM
44,1218,763,NEAR BAY,ADULT,5-STAR,MEDIUM
48,1751,935,NEAR BAY,OLD,5-STAR,MEDIUM
45,2299,1437,NEAR BAY,ADULT,5-STAR,OVER
38,2457,1516,NEAR BAY,ADULT,5-STAR,OVER
47,998,597,NEAR BAY,OLD,3-STAR,SMALL
40,1685,949,NEAR BAY,ADULT,5-STAR,MEDIUM
46,1827,881,NEAR BAY,OLD,5-STAR,MEDIUM
36,2781,1438,NEAR BAY,ADULT,5-STAR,OVER
39,1823,763,NEAR BAY,ADULT,5-STAR,MEDIUM
27,2229,1297,NEAR BAY,ADULT,5-STAR,OVER
34,1513,545,NEAR BAY,ADULT,5-STAR,SMALL
26,3266,1222,NEAR BAY,ADULT,7-STAR,OVER
33,1809,808,NEAR BAY,ADULT,5-STAR,MEDIUM
28,794,329,NEAR BAY,ADULT,3-STAR,SMALL
36,690,299,NEAR BAY,ADULT,3-STAR,SMALL
33,1334,579,NEAR BAY,ADULT,5-STAR,SMALL
30,414,137,NEAR BAY,ADULT,3-STAR,SMALL
36,768,229,NEAR BAY,ADULT,3-STAR,SMALL
41,4400,1476,NEAR BAY,ADULT,7-STAR,OVER
46,954,429,NEAR BAY,OLD,3-STAR,SMALL
40,1445,849,NEAR BAY,ADULT,5-STAR,MEDIUM
44,1938,946,NEAR BAY,ADULT,5-STAR,MEDIUM
41,856,571,NEAR BAY,ADULT,3-STAR,SMALL
24,1790,1137,NEAR BAY,YOUNG,5-STAR,OVER
44,617,378,NEAR BAY,ADULT,3-STAR,SMALL
43,1383,853,NEAR BAY,ADULT,5-STAR,MEDIUM
49,1325,764,NEAR BAY,OLD,5-STAR,MEDIUM
40,1227,928,NEAR BAY,ADULT,5-STAR,MEDIUM
35,667,406,NEAR BAY,ADULT,3-STAR,SMALL
34,1223,824,NEAR BAY,ADULT,5-STAR,MEDIUM
37,1379,835,NEAR BAY,ADULT,5-STAR,MEDIUM
43,1534,826,NEAR BAY,ADULT,5-STAR,MEDIUM
46,1029,567,NEAR BAY,OLD,5-STAR,SMALL
52,771,355,NEAR BAY,OLD,3-STAR,SMALL
47,824,533,NEAR BAY,OLD,3-STAR,SMALL
44,1097,609,NEAR BAY,ADULT,5-STAR,MEDIUM
49,1283,576,NEAR BAY,OLD,5-STAR,SMALL
52,1604,594,NEAR BAY,OLD,5-STAR,SMALL
52,2248,870,NEAR BAY,OLD,5-STAR,MEDIUM
38,2263,1027,NEAR BAY,ADULT,5-STAR,OVER
52,1571,693,NEAR BAY,OLD,5-STAR,MEDIUM
46,1520,815,NEAR BAY,OLD,5-STAR,MEDIUM
15,5083,2420,NEAR BAY,YOUNG,7-STAR,OVER
36,1077,518,NEAR BAY,ADULT,5-STAR,SMALL
52,1248,620,NEAR BAY,OLD,5-STAR,MEDIUM
42,1342,551,NEAR BAY,ADULT,5-STAR,SMALL
37,3061,2556,NEAR BAY,ADULT,7-STAR,OVER
52,3171,1498,NEAR BAY,OLD,7-STAR,OVER
50,1211,523,NEAR BAY,OLD,5-STAR,SMALL
52,979,374,NEAR BAY,OLD,3-STAR,SMALL
52,2269,1004,NEAR BAY,OLD,5-STAR,OVER
52,1844,769,NEAR BAY,OLD,5-STAR,MEDIUM
52,2178,940,NEAR BAY,OLD,5-STAR,MEDIUM
42,1650,645,NEAR BAY,ADULT,5-STAR,MEDIUM
52,1927,705,NEAR BAY,OLD,5-STAR,MEDIUM
52,2079,684,NEAR BAY,OLD,5-STAR,MEDIUM
52,1803,572,NEAR BAY,OLD,5-STAR,SMALL
52,2041,671,NEAR BAY,OLD,5-STAR,MEDIUM
52,3046,975,NEAR BAY,OLD,7-STAR,MEDIUM
52,2318,779,NEAR BAY,OLD,5-STAR,MEDIUM
52,2003,658,NEAR BAY,OLD,5-STAR,MEDIUM
52,2261,819,NEAR BAY,OLD,5-STAR,MEDIUM
52,1225,412,NEAR BAY,OLD,5-STAR,SMALL
52,2315,835,NEAR BAY,OLD,5-STAR,MEDIUM
52,2070,722,NEAR BAY,OLD,5-STAR,MEDIUM
52,2616,1085,NEAR BAY,OLD,5-STAR,OVER
52,2640,973,NEAR BAY,OLD,5-STAR,MEDIUM
52,1978,723,NEAR BAY,OLD,5-STAR,MEDIUM
37,2220,903,NEAR BAY,ADULT,5-STAR,MEDIUM
41,1125,356,NEAR BAY,ADULT,5-STAR,SMALL
52,3078,1005,NEAR BAY,OLD,7-STAR,OVER
52,3706,1205,NEAR BAY,OLD,7-STAR,OVER
37,3000,987,NEAR BAY,ADULT,5-STAR,MEDIUM
42,2863,1031,NEAR BAY,ADULT,5-STAR,OVER
52,2551,894,NEAR BAY,OLD,5-STAR,MEDIUM
52,2255,823,NEAR BAY,OLD,5-STAR,MEDIUM
52,3360,1232,NEAR BAY,OLD,7-STAR,OVER
52,1693,669,NEAR BAY,OLD,5-STAR,MEDIUM
44,2252,989,NEAR BAY,ADULT,5-STAR,MEDIUM
52,2495,1058,NEAR BAY,OLD,5-STAR,OVER
52,1193,506,NEAR BAY,OLD,5-STAR,SMALL
52,1172,489,NEAR BAY,OLD,5-STAR,SMALL
52,2159,824,NEAR BAY,OLD,5-STAR,MEDIUM
48,2365,1034,NEAR BAY,OLD,5-STAR,OVER
46,1895,920,NEAR BAY,OLD,5-STAR,MEDIUM
52,1650,841,NEAR BAY,OLD,5-STAR,MEDIUM
45,453,749,NEAR BAY,ADULT,3-STAR,MEDIUM
52,409,208,NEAR BAY,OLD,3-STAR,SMALL
10,503,228,NEAR BAY,YOUNG,3-STAR,SMALL
50,499,287,NEAR BAY,OLD,3-STAR,SMALL
52,477,218,NEAR BAY,OLD,3-STAR,SMALL
46,1647,854,NEAR BAY,OLD,5-STAR,MEDIUM
52,3123,1695,NEAR BAY,OLD,7-STAR,OVER
52,957,403,NEAR BAY,OLD,3-STAR,SMALL
52,589,288,NEAR BAY,OLD,3-STAR,SMALL
49,2026,963,NEAR BAY,OLD,5-STAR,MEDIUM
50,1829,1129,NEAR BAY,OLD,5-STAR,OVER
52,895,386,NEAR BAY,OLD,3-STAR,SMALL
52,1909,811,NEAR BAY,OLD,5-STAR,MEDIUM
46,3022,1293,NEAR BAY,OLD,7-STAR,OVER
